TV AO3;SPN;Dr. Who;Sherlock;Star Trek;Glee;OuaT;Buffy;Merlin;Stargate;Teen Wolf;TWD;X-Files;;Total
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
Mar 6, 23;256,693;93,915;121,670;93,804;41,315;52,550;36,415;52,891;54,658;124,458;25,322;22,351;;976,042
Apr 3, 23;277,260;94,307;132,011;104,413;43,382;55,566;38,801;53,311;59,112;124,939;26,771;24,144;;1,034,017
06/30/23;279,892;100,572;132,676;107,038;43,750;55,961;39,226;58,410;59,833;136,573;27,453;24,497;;1,065,881
10/01/23;283,371;102,049;133,297;110,272;43,916;56,527;39,922;60,114;60,991;138,227;28,353;24,906;;1,081,945
Jan 1, 24;287,525;105,047;134,137;113,887;44,226;57,000;40,620;61,517;61,877;140,287;29,057;25,525;;1,100,705
Apr 1, 24;290,212;107,720;134,799;116,750;44,445;57,372;41,146;62,573;62,447;141,749;29,681;25,851;;1,114,745
Jun 30, 24;292,709;110,136;135,417;118,978;44,670;57,481;41,601;63,532;63,020;143,029;30,040;26,191;;1,126,804
Oct 1, 24;296,126;112,586;136,254;121,992;44,933;58,008;42,233;62,621;63,641;144,337;30,488;26,532;;1,139,751
Jan 1, 25;300,450;114,529;136,996;125,276;45,239;58,560;43,522;65,789;64,273;145,771;31,090;27,090;;1,158,585
Apr 1, 25;303,779;116,303;137,665;127,760;44,464;58,975;44,224;66,833;64,816;147,015;31,665;27,518;;1,171,017
Jul 1, 25;307,228;118,658;138,484;130,303;45,836;59,412;44,859;67,655;65,355;148,238;32,282;27,831;;1,186,141
Oct 3, 25;311,169;120,902;139,256;133,344;46,090;59,946;45,590;68,824;66,072;149,646;32,978;28,273;;1,202,090
Dec 30, 99;;;;;;;;;;;;;;0
Dec 30, 99;;;;;;;;;;;;;;0
Dec 30, 99;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;0
