Animanga FFN;Sailor Moon;Inuyasha;CCS;Bleach;Tennis;Naruto;Fruba;FMA;Soul Eater;Fairy Tail;Hetalia;Exorcist;Madoka;RWBY;JJBA;SnK;HQ;BnHA;YoI;SxF;;Total
Jan 9, 15;40,600;;26,200;;23,300;375,000;18,000;45,900;19,500;38,900;109,000;2,800;1,700;;;14,700;1,100;;;;;716,700
May 26, 15;40,900;;26,200;;23,500;383,000;18,000;46,300;19,900;44,000;112,000;2,900;1,900;;;16,400;1,700;9;;;;736,709
Jun 23, 15;41,000;;26,200;;23,500;385,000;18,000;46,400;20,000;45,000;113,000;3,000;1,900;;;16,600;1,800;14;;;;741,414
Aug 15, 15;41,000;;26,300;;23,500;388,000;18,000;46,600;20,200;46,900;114,000;3,100;2,000;;;17,200;2,000;16;;;;748,816
Oct 15, 15;41,200;;26,400;;23,600;391,000;18,000;46,700;20,300;51,000;115,000;3,200;2,100;;;17,700;2,600;22;;;;758,822
Jan 5, 16;41,200;;26,400;;23,700;396,000;18,000;47,000;20,500;51,800;116,000;3,200;2,100;;;18,400;2,800;30;;;;767,130
Apr 6, 16;41,400;;26,300;;23,800;400,000;18,000;47,300;20,700;54,400;117,000;3,200;2,200;;;19,000;3,600;43;;;;776,943
Jul 8, 16;41,600;;26,400;;23,800;403,000;18,000;47,600;20,700;56,900;118,000;3,300;2,200;;;19,500;4,400;284;;;;785,684
Sep 23, 16;41,700;;26,400;;23,800;406,000;18,000;47,900;20,700;58,400;119,000;3,400;2,300;;;19,900;5,000;504;;;;793,004
Jan 14, 17;42,000;;26,400;;23,900;409,000;18,000;48,100;20,800;60,000;120,000;3,500;2,300;;;20,400;5,800;697;1,600;;;802,497
Apr 3, 17;42,100;;26,500;;23,900;412,000;18,000;48,200;20,700;60,900;120,000;3,600;2,400;;;20,500;6,300;806;3,000;;;808,906
Jul 3, 17;42,400;;26,500;;23,900;415,000;18,000;48,400;20,800;62,100;120,000;3,700;2,400;;;21,100;6,900;1,300;4,000;;;816,500
Oct 3, 17;42,500;;26,500;;23,900;417,500;18,000;48,500;20,700;62,900;120,000;3,800;2,400;;;21,500;7,300;2,500;4,600;;;822,600
Jan 10, 18;42,700;;26,500;;23,800;419,500;17,900;48,700;20,800;63,400;121,000;3,800;2,500;;;21,800;7,700;3,600;5,200;;;828,900
Apr 5, 18;42,800;;26,500;;23,800;421,000;17,900;48,900;20,800;64,000;121,000;3,800;2,500;;;22,000;8,000;4,500;5,400;;;832,900
Jul 17, 18;43,000;;26,600;;23,800;423,000;17,900;49,100;20,800;64,700;121,000;3,900;2,500;;;22,200;8,200;6,100;5,700;;;838,500
Sep 24, 18;43,100;;26,600;;23,700;425,000;17,900;49,200;20,800;65,100;121,000;3,900;2,600;;;22,400;8,300;7,600;5,800;;;843,000
Nov 2, 18;43,200;;26,700;;23,700;425,000;17,900;49,200;20,700;65,200;121,000;3,900;2,600;;;22,600;8,400;8,400;5,800;;;844,300
Jan 3, 19;43,300;;26,700;;23,700;426,000;17,900;49,300;20,700;65,500;121,000;3,900;2,600;;;22,700;8,400;9,500;5,900;;;847,100
Mar 30, 19;43,400;;26,700;;23,700;427,000;17,900;49,300;20,700;66,000;121,000;3,900;2,600;;;22,800;8,600;11,000;6,000;;;850,600
Jul 1, 19;43,600;;26,700;;23,600;428,000;18,000;49,400;20,700;66,500;121,000;3,900;2,700;;;23,100;8,600;12,400;6,100;;;854,300
Oct 3, 19;43,700;;26,800;;23,600;429,000;18,000;49,400;20,700;67,000;121,000;4,000;2,700;;;23,300;8,800;13,600;6,200;;;857,800
Jan 1, 20;43,800;;26,800;;23,600;429,000;18,000;49,400;20,700;67,200;120,000;4,000;2,700;;;23,500;8,800;14,600;6,200;;;858,300
Apr 1, 20;43,900;;26,800;;23,600;430,000;18,000;49,400;20,700;67,500;120,000;4,000;2,800;;;23,600;8,800;16,300;6,300;;;861,700
Jul 1, 20;44,000;;26,800;;23,600;432,000;17,900;49,500;20,600;67,700;120,000;4,000;2,800;;;23,700;9,200;18,000;6,400;;;866,200
Oct 1, 20;44,100;;26,800;;23,500;432,000;17,900;49,500;20,600;67,900;120,000;4,000;2,800;;;23,800;9,500;19,400;6,400;;;868,200
Jan 1, 21;44,300;;26,900;;23,300;433,000;18,000;49,600;20,600;68,000;120,000;4,000;2,800;;;23,900;9,900;20,600;6,400;;;871,300
Apr 1, 21;44,500;;26,900;;23,200;434,000;18,000;49,500;20,500;68,200;119,000;4,000;2,900;;;24,400;10,100;21,700;6,300;;;873,200
Jul 1, 21;44,500;;26,900;;23,200;435,000;18,100;49,400;20,500;68,200;119,000;4,000;2,900;;;24,800;10,300;22,700;6,300;;;875,800
Oct 1, 21;44,600;;26,900;;23,200;436,000;18,100;49,300;20,500;68,200;119,000;4,000;2,900;;;25,000;10,300;23,500;6,300;;;877,800
Jan 1, 22;44,700;;26,900;;23,100;436,000;18,200;49,400;20,500;68,400;119,000;4,000;2,900;;;25,100;10,400;24,400;6,300;;;879,300
Apr 8, 22;44,900;;26,900;;23,100;437,000;18,200;49,400;20,500;68,400;119,000;4,000;3,000;;;25,200;10,500;25,100;6,300;;;881,500
Jul 4, 22;45,000;;26,900;;23,100;438,000;18,200;49,400;20,400;68,500;119,000;4,000;3,000;;;25,300;10,500;25,600;6,300;;;883,200
Aug 2, 22;45,000;;26,900;;23,100;438,000;18,200;49,400;20,400;68,500;116,779;4,000;3,000;;;25,300;10,500;25,800;6,300;;;881,179
Sep 20, 22;45,100;;26,900;;23,100;412,394;18,200;47,654;20,400;68,500;116,698;4,000;3,000;;;24,904;10,500;24,634;6,300;;;852,284
Oct 23, 22;45,100;;26,900;;23,100;412,466;18,200;47,687;19,903;68,500;116,655;4,000;3,000;;;24,927;10,500;24,804;6,300;;;852,042
Jan 1, 23;45,300;;26,900;;23,100;412,453;18,200;47,648;19,862;68,500;116,552;4,000;3,000;;;24,934;10,500;25,073;6,300;;;852,322
Mar 3, 23;41,444;;26,277;;23,100;412,706;18,200;47,631;19,848;66,745;116,482;3,871;2,757;;;24,964;10,409;25,329;6,300;;;846,063
Apr 3, 23;41,469;;26,273;;22,859;412,667;17,618;47,642;19,842;66,773;116,424;3,870;2,759;;;24,992;10,422;25,440;6,300;;;845,350
06/30/23;41,462;112,899;26,263;82,356;22,861;413,028;17,621;47,633;19,835;66,755;116,383;3,874;2,760;;2,157;24,968;10,418;25,779;6,295;320;;1,043,347
10/01/23;41,511;112,953;26,271;82,318;22,844;413,380;17,622;47,642;19,825;66,766;116,185;3,873;2,772;31,032;2,170;24,951;10,435;26,245;6,284;336;;1,075,079
01/01/24;41,574;113,034;26,272;82,233;22,830;413,630;17,625;47,654;19,807;66,800;116,027;3,868;2,790;31,154;2,184;24,962;10,448;26,540;6,287;369;;1,075,719
04/01/24;41,635;113,099;26,259;82,246;22,830;413,912;17,625;47,663;19,808;66,702;115,880;3,860;2,800;31,358;;24,891;10,475;26,789;6,285;;;1,074,117
06/30/24;41,663;113,149;26,260;82,199;22,829;414,289;17,611;47,669;19,806;66,756;115,804;3,862;2,806;31,501;2,204;24,911;10,498;27,057;6,271;437;;1,077,145
10/01/24;41,708;113,119;26,255;82,212;22,822;414,333;17,611;47,649;19,792;66,970;115,718;3,866;2,822;31,579;2,221;24,930;10,488;27,313;6,262;465;;1,077,670
01/01/25;41,743;113,052;26,262;82,264;22,810;414,524;17,573;47,645;19,788;67,286;115,556;3,863;2,824;31,709;2,232;24,922;10,487;27,553;6,265;490;;1,078,358
04/01/25;41,751;113,032;26,260;82,270;22,814;414,653;17,571;47,537;19,775;67,349;115,220;3,861;2,827;31,781;2,235;24,896;10,487;27,776;6,266;507;;1,078,361
07/01/25;41,794;112,996;26,258;81,991;22,813;414,560;17,560;47,516;19,771;67,388;114,953;3,857;2,822;31,945;2,233;24,908;10,501;27,890;6,210;536;;1,077,966
10/03/25;41,833;113,054;26,247;81,935;22,806;414,681;17,559;47,515;19,772;67,511;114,871;3,857;2,826;32,059;2,340;25,004;10,497;28,293;6,199;551;;1,078,859
12/30/99;;;;;;;;;;;;;;;;;;;;;;0
12/30/99;;;;;;;;;;;;;;;;;;;;;;0
12/30/99;;;;;;;;;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;;;;;;;;;0
